order,title,link0,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12
1A,Introduction,https://github.com/mohammedelzanaty/react-guide-with-zanaty,https://www.atlassian.com/git,https://www.udacity.com/course/version-control-with-git--ud123,https://guides.github.com/introduction/git-handbook/,https://avatars.githubusercontent.com/u/16934778?s=400&u=687f93e3b54916c911b232b55fd46f31e944beae&v=4,https://twitter.com/mohammdelzanaty,https://github.com/mohammedelzanaty,https://www.linkedin.com/in/mohammedelzanaty129/,https://github.com/mohammedelzanaty/react-guide-with-zanaty,https://www.linkedin.com/in/btholt,,,
2A,Why React is Awesome,https://reactjs.org/docs/getting-started.html,https://en.wikipedia.org/wiki/React_(JavaScript_library),https://en.wikipedia.org/wiki/Function_composition,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map,https://developer.mozilla.org/en/docs/Web/JavaScript/Reference/Global_Objects/Array/filter,https://tylermcginnis.com/imperative-vs-declarative-programming/,https://stackoverflow.com/questions/33655534/difference-between-declarative-and-imperative-in-react-js,https://reactjs.org/docs/optimizing-performance.html#avoid-reconciliation,https://media-exp1.licdn.com/dms/image/C5612AQFbwsKzJw4v2A/article-inline_image-shrink_1000_1488/0/1565018330860?e=1622678400&v=beta&t=LrGecxs5TAlZyZnSwzPb7CZwLqzomp3-yuqGKT-o4kw,https://reactjs.org/docs/reconciliation.html#the-diffing-algorithm,,,
3A,Pure React,https://reactjs.org/blog/2020/10/20/react-v17.html,https://www.udacity.com/course/intro-to-html-and-css--ud001,https://raw.githubusercontent.com/btholt/citr-v6-project/master/01-no-frills-react/src/style.css,https://github.com/mohammedelzanaty/react-guide-with-zanaty/tree/b80555e45020221e519aaa2f65996ac46d3fe3d9,,,,,,,,,
4A,Components,https://github.com/mohammedelzanaty/react-guide-with-zanaty/commit/e6f2035958dcedd42ba20615c6bc27e95d54cc6e,https://github.com/mohammedelzanaty/react-guide-with-zanaty/commit/442679c8cee971e17db7af0d1f49713ed0021aef,,,,,,,,,,,
5A,NPM,,,,,,,,,,,,,
6A,Kick off with create-react-app,https://brew.sh/,https://nodejs.org/en/download/,https://yarnpkg.com/lang/en/docs/install,https://www.ostechnix.com/install-node-js-linux,https://nodejs.org/en/download/,https://yarnpkg.com/lang/en/docs/install,https://github.com/babel/babel,https://github.com/webpack/webpack,https://www.npmjs.com/get-npm,https://docs.npmjs.com/getting-started/fixing-npm-permissions,https://stackoverflow.com/questions/5926672/where-does-npm-install-packages,https://fakestoreapi.com/docs,https://github.com/mohammedelzanaty/react-guide-with-zanaty/commit/b5e730932f32e3b438ee2d7070680cccf1d3370d
7A,Prettier,https://github.com/prettier/prettier,https://twitter.com/jlongster,https://prettier.io/playground/,https://prettier.io/docs/en/options.html,https://flow.org/,https://www.typescriptlang.org/,https://code.visualstudio.com/?WT.mc_id=reactintro-github-brholt,https://marketplace.visualstudio.com/items?itemName=esbenp.prettier-vscode&WT.mc_id=reactintro-github-brholt,https://github.com/mohammedelzanaty/react-guide-with-zanaty/commit/fab751364db44631d96b4af16fab3a202589d432,,,,
8A,JSX,https://github.com/mohammedelzanaty/react-guide-with-zanaty/commit/3a5a7260aebd28234cac5f63fa27ab3ef5a9f3ca,,,,,,,,,,,,
9A,Component Composition,https://github.com/mohammedelzanaty/react-guide-with-zanaty/commit/6e1a7c36dec7eb028b8c46efe790c93f6f7ae9d9,,,,,,,,,,,,
10A,React Dev Tools,,,,,,,,,,,,,
11A,State and Lifecycle Methods with React,https://reactjs.org/docs/faq-state.html,https://reactjs.org/docs/react-component.html,https://projects.wojtekmaj.pl/react-lifecycle-methods-diagram/,https://reactjs.org/docs/react-component.html#componentdidmount,https://github.com/mohammedelzanaty/react-guide-with-zanaty/commit/39c564868e4c0e2fc1dc5c609b7481e94c72a9ea,,,,,,,,